Date,Time,Sender,Message,Cluster
03/02/24,16.09.55,PJ PARTI 2024 ABANGKUH 🙌🔥🌾,"‎Pesan dan panggilan terenkripsi secara end-to-end. Tidak seorang pun di luar chat ini, termasuk WhatsApp, yang dapat membaca atau mendengarkannya.",1
03/02/24,16.09.55,PJ PARTI 2024 ABANGKUH 🙌🔥🌾,‎Anda membuat grup “PARTI 2024 ABANGKUH 🙌🔥🌾🙌”,1
03/02/24,16.53.52,Nirot TIF '22,‎Nirot TIF '22 bergabung menggunakan undangan Anda,1
03/02/24,17.02.31,ReviTO,‎ReviTO bergabung menggunakan undangan Anda,1
03/02/24,17.06.36,PJ PARTI 2024 ABANGKUH 🙌🔥🌾,‎Anda mengubah nama grup menjadi “PJ PARTI 2024 ABANGKUH 🙌🔥🌾🙌”,1
03/02/24,17.14.35,PJ PARTI 2024 ABANGKUH 🙌🔥🌾,"‎Anda menambahkan Afif TIF' 22, Anindya TIF '22, dan 10 lainnya. Ketuk untuk melihat semua.",1
03/02/24,17.21.20,Inandra,"Selamat sore temen” semua, terimakasih banyak tak ucapin ke kalian semua. Ini adalah awal dari PARTI 2024, mohon bantuannya temen temen semua. Dengan saling membantu dan saling melengkapi semoga parti tahun ini sukses. Aamiin",1
03/02/24,17.22.06,ReviTO,ok,1
03/02/24,17.25.27,Safridha,Nggih,1
03/02/24,17.25.51,~ Faiz Arfian Ilhami,‎Labib menambahkan ~ Faiz Arfian Ilhami,1
03/02/24,17.26.24,Labib,siap pak,1
03/02/24,17.27.03,Salwa TIF '22,aamiin 🤲🏻🤲🏻,1
03/02/24,17.28.20,Rehan ECU,menyala abang ku,1
03/02/24,17.36.47,Nirot TIF '22,Siap abangkuhh,1
,,,"‎[03/02/24, 17.42.59] Izam TIF '21: ‎stiker tidak disertakan",1
03/02/24,20.48.26,Gilang TIF '22,‎Gilang TIF '22 bergabung menggunakan undangan Anda,1
21/02/24,09.37.32,PJ PARTI 2024 ABANGKUH 🙌🔥🌾,‎Anda mengubah nama grup menjadi “PJ PARTI 2024 ABANGKUH 🙌🔥🌾”,1
21/02/24,09.39.04,Stiven TIF '21,bedane opo,1
21/02/24,09.39.12,Inandra,raenek wkwk,1
,,,"‎[21/02/24, 09.39.24] Stiven TIF '21: ‎stiker tidak disertakan",1
21/02/24,09.39.59,Inandra,oiya cah aku meh ngajak ketemu sama kalian semua enak e kapan,1
21/02/24,10.25.10,Rehan ECU,manut,1
22/02/24,15.33.13,Inandra,@6281231715679 @6281233544829 @6282325384330 @6281218620232 @6281336917985 @6281393686086 @6282198045056 @6282322489424 @6285290474524 @6285865803536 @6287804044937 @62895620490206 @6289638972960 @6281327209494 @6289675358785,1
22/02/24,15.33.15,Inandra,info jawaban,1
22/02/24,15.33.28,~ Faiz Arfian Ilhami,sak niki,1
